dyu,fr
Aya ka marfa bi la ka sigi,"Lâchant son arme, il s'assit, geignit."
Radio bon lo,Delta radio est la deuxième radio privée à pouvoir émettre dans le Schleswig-Holstein.
A bi na kèdi do,"treize rue Bodinier, quarante-neuf, zéro zéro zéro à Angers"
Liqueur bi a bolo dow,"Sur cette table, un service à liqueurs."
Yôrô toun kagni kossbè,L'ambiance y est celle d'une maison de collectionneur.
Ayi a mè kossèbè,"Je vous prie, pour ma règle, de me donner une instruction détaillée."
Nin ye deen misɛnni wɔɔrɔ yɔ,Elle est la cinquième d'une famille igbo de six enfants.
N sɔn na k'a ka sin Ala ma.,J'accorde que ce soit vers Dieu.
Alu lo wa n Balimancɛ Criso ? Nawɔn yi ɲiniganin kɛ te n'a bi filɛni kɛra wo minsɛnw fɛ.,"C’est-y vous, monsieur Cruchot? demanda Nanon en regardant par la petite grille."
Kama sôro o bôra Algérie,"Cependant, aujourd'hui, la plupart des Turcs algériens parlent la langue arabe."
Siga ta râ obi fania tigê là,"Sans doute… je suis extrêmement flatté, mais…"
San bèra mogo bi sa dousou koun dimi nôfè,"Tous les ans, il mourait une fille ou un garçon malade de la poitrine."
A bi tara djona a ka so konon,Il progresse à vive allure en tant que musicien.
A kèra komi Patric bi Hema ya ga mi na,Emma semble troublée par Patrick et c'est réciproque.
kreɔn ka sira ka taga sireani,Allée de Creno à Furiani
"Olu mandimi na, kelen yɛrɛ ta ka jugu.","Ces derniers sont blessés, dont un grièvement."
Alabatoso ba Nɔtre Dame des Hɔngruwa de Szɛgde lo yi diyocɛz ka katedrale ye.,L'église Notre-Dame des Hongrois de Szeged est la cathédrale du diocèse.
N tun y'a fɔ a ye jonajona k'a kana sɔn o ma.,Je l’avais rapidement déconseillé.
a bi komi I n'a fɔ a ka kalan kɛ,Taruffi étudiera ensuite un engin tri-corps.
O y'o ka marfaw don o kun.,Ils empoignèrent leurs fusils.
Sɛrpir lo yi duguba ye.,La ville principale est Sherpur.
Walima an bɛ bi sɔn a la dilanni ma.,Or nous sommes tout à fait favorables à sa création.
O toum bena môgô wou kan,Ils remboursent aussi les victimes – Monsieur le garde des sceaux l’a souligné.
Dougou deni min sigira sen kan,La commune créée prend alors le nom de Jullouville.
A ni Bombay djanyan bi di?,À quelle distance est-il de Bombay ?
Alé fana lo siga tara,C'est encore le plus sûr et le plus court.
Fila bourou ban akili djigi yessou kô,Le dimanche des Rameaux célèbre l'entrée triomphale de Jésus-Christ à Jérusalem.
Ata lon wagati minna koni kèra,On ne sait pas quand la différenciation avec l'âne et le zèbre s'est faite.
Nounou yi tardi ta loyé,Les dessins sont de Tardi.
Mɔgɔ tan ni kelen,Un vingt-et-unième.
i ni sɔ,"Bonjou, bonjou, belle dame."
a tun bi kɛlɛkɛ yɔrɔra,Il revenait de la guerre.
Siraba Mɔris rontɛn mezɛn,"Rue Maurice Rontin, Mézin"
Komte sigini do pawne,Le siège du comté est Pawnee.
Bɛgɛn wɛrɛ nɛrɛmuguman,Un autre animal jaune.
Buda lo a cɛkaɲ,Très joli… un bouddha.
Cɛ na muso bi na musomani naani sɔrɔ,Le couple aura quatre filles.
Bɛgɛ wɛrɛn janmanjan,D'autres grands animaux.
Kami tun mankɛnɛ wa?,Camille serait-elle malade ?…
Anri donna bonba ni kɔnɔ.,"HENRI, entrant dans la salle."
A be na Juma fɔ ne ye,Et lequel me direz-vous ?
Arjina tun fin ni lo,le ciel était sombre.
Siraba tin sɔsɛr,"Rue Thine, Schœlcher"
N bina a yala k'a di aw ma.,Je vous chercherai ça !…
bisɛnval ka oskar,Monsieur Oscar de Buzenval.
Ɛrmɛd kelen hakili b'a la.,Seule Airmed s'en souvient.
Dɔktɔrɔ Ge siraba min be Andvil .,Rue du Docteur Gey à Andeville
Siraba Andre Fose min bi Langurla .,Rue André Fauchet à Langourla
A ta ni do Elvige,"Mais le vôtre, Elvire?"
Ah doussou kadi,Ah! vous êtes heureux !
Wakati sera,Il est cinq heures.
Ani wakati fila,et de deux à cinq h.
buru glan yɔrɔ,une boulangerie.
mɔbili ka sira da ba bɛrtɛnkur,"Rue de Bus, Bertincourt"
A tununa ɲan ra.,Elle disparut de vue.
Ndôgô ni ka féti lo,C’est la fête de ma cousine.
A dousou kadi gbananman,Tressaillir de joie.
A toun bi koulon kèra,Ce n’était qu’une blague.
no tɛ an ka ɲamɔgɔ bi min fɛ o bi n'a o walawala,"Sinon, l’avis du Gouvernement sera défavorable."
I le lowa mu ne bira o y'a ɲiniga ni kan majigini ye,"Dis, c'est toi ? qu'est-ce que tu as ? demanda-t-il à voix basse."
Siranyan tu bi n n'a ko kelen durkɔn tun ti na see o yɛrɛkɔrɔ,J'avais peur qu'ils n'eussent pu se débrouiller seuls.
brianbi anam faradugu kɔnɔ,"Briand est en Annam, à Phan-Rang."
a yi kɛlɛkɛ yɔrɔ nani yira an n'a min si ti keleen ye,Il propose quatre styles de combats différents.
n ga ne ɲate kokolon n'a ni n'a o,Mais je ne vois pas de mal à cela…
Nne dusukun ɲagami,J'ai dévasté mon cœur.
A ka gnouma kagni,Son importance est double.
Crayon woulé ma ti ne fè,Je n'ai pas de crayon rouge.
Aka fissa an ka welé,Il vaut mieux le rappeler.
O yi yèlèmani dow koni nan,De nombreuses interventions ont ultérieurement modifié le bâtiment.
Aka nogô,"Puis, après un premier mariage raté, elle épouse Kubokawa."
A balkoura tènè lo,Elle a été élevée à Soberton dans le Hampshire.
Fo yi t'o fɛ ka kɛ wa,Ils sont donc sans objet.
A tun jigini no n kɔnɔ,J’avais un prétexte.
Bon ni wagani bɛ,La maison est spacieuse.
Tumadɔ n bi sɛbɛrikɛ ka sama n facɛ ma,J'écris souvent à mon père.
Ni o lo ko kɛta ɲuman lo kɛ,C’est donc un vrai sujet.
Sini n bi na taga gɛnka,j'irai à Guingamp demain.
Ko kaɲi wa,Vous allez mieux ?
Tiɲɛna i bi yafa n ma,"Vraiment, je suis désolé."
A kulela kama sɔrɔ a ma wili,Cria-t-elle sans se lever.
N ka kɛnɛ alu do,Je vais bien et vous ?
O bena karsa sababou la,Vous êtes tombé dans la facilité.
faransi kɔnɔtɛ a kɛra dɔɔni a bi kɛ I n'a fɔ faransi ta,"Pas en France. Nous ne sommes presque plus en France, Sara."
Kɔrnasak ka sira bi nimɔro mugan ni duuru nan na.,Route de Cornassac au numéro vingt-cinq
O yi nigɛ kuru bila jo nunu pilasira,Les troncs ont ensuite été remplacés par des tubes en acier.
Sisan a yi a bana,"Là, voilà c'est fini ; et on n'a entendu que Bibichon !"
O kɔ a y'a ɲa sin kogo sira ma,Elle s'est ensuite davantage orientée vers le chant.
o le kɛra a kun bɛrɛ ye jama ɲinana kɔ,Ce fut la principale cause de son oubli par le public.
kozi bi n'a lon kɔfɛ ko izumi le y'a ka kanu len fɔlɔ ye,Koji saura plus tard qu'Izumi est son premier amour.
da yɛlɛla,La porte s'ouvrit.
a kɛra barinan ko ye,Il se fit par miracle.
a kanu ni no,il est aimé.
a ka dɛnmisɛnw Nin wagati kelen ni na o y'o bamuso son ta,"Ses enfants, pour une fois, prennent modèle sur leur mère."
A kana kari,Ne cassons pas le mécanisme.
Gnataga gnouma lo,C’est une réelle avancée.
A bi a contre la,Tu es contre eux.
Ayé sigi a kè to bara,Asseyez-vous s'il vous plait.
Houn toun lara a la,Si je le croyais !
Moulo kèra,Est-ce cela qui s’est passé?
Olou mogo nounou tou yi nafolo tigi yé,Ces gens étaient riches ?
Mina taba di a ma,Je m’en offrirai une pipe.
A ma se alé bè ma,Ça ne vaut la peine.
Ni te sèbè ya yé,Ce n’est pas sérieux
An lonni bè,Nous sommes connus.
An bina fèn wèra san,On t'achètera un autre doudou.
Mogô bi yan minou bina daminè wa,Il y a des débutants ?
A tara doron a ya dadjé,"Sitôt parti, sitôt aimé."
Hun labé ni tè,Je ne suis pas prêt.
A tounou na,Ma valise s'est perdue.
A bi alé akili kelé,Il est dans le même esprit.
Alé akili kelé lo,Des petites gens.
An bina djigè minè,hier elle pêchait.
O yora ya kagni,puisqu'il fait beau.
Abi dia a yé,Je suis sûr qu’elle aima.
Bidourou ni 'ele,Cinquante et un.
"A ka gni,tien lo",Mais c'est vrai!
Baou deri akan bara kè,Je demande une suspension de séance de dix minutes.
o nana fɔ n ye ko kɛra i na fɔ ne tun ba fɛ o ka kɛ cogo mina.,Ils m'annonçaient qu'ils étaient devenus tels que je les souhaite.
Bali ma mousso bèn ma sôrô wa?,"Madame la secrétaire d’État, le consensus n’est pas là."
Ya togô minè a ra,Je lui ai emprunté son nom pour arriver près d’une danseuse… charmante !
Poussière bi a yassi kan,Ses fines paupières battirent.
Un balima mousso bâ lon,Madame Gaudin Oui ! je sais …
Bi min FO aya kè,Faites ce que je vous dis.
Kouma bi Stanislas bolo,La parole est à Monsieur Stanislas Guerini.
O koun bâ miri k bi bin gnimi,On pense qu'elles étaient herbivores.
Un teri koun lo,C’était mon ami.
A toun bi koni kouma fô o ka kanou na,Elle avait évoqué le sujet au début de leur relation.
Moulo bâ kè wagati ne a bi na,Pourquoi vient-elle toujours au mauvais moment?
Ta ko kelé,Un bout.
Tome kelen paz kɛmɛ saba ni binani ni wɔrɔ.,"tome un, page trois cent quarante-six."
a kaɲi perezidan muso,"Favorable, madame la présidente."
foyi tun ti ɲafɛ foyi tun ti kɔfɛ,"Il n’y avait rien devant, rien derrière."
ɲafɛ mɔgɔ ba miri ko di o ba miri ka kaɲ,Quel est l’avis du Gouvernement ? Le Gouvernement est favorable.
A y'a fɔ ko di?,Et qu'a-t-elle répondu?
Mousso ni ti fèka ta,elles ne veulent pas partir.
Mina doumouni kè o kosson kongo bi n na,Je vais manger car j'ai faim.
A k'a bla.,Il n’a qu’à la lâcher.
Muna ne tun ti se ka kalankɛ sedɛn,Pourquoi ne me fut-il pas possible d’étudier Sedaine ?
A man gwɛlɛ.,C’est pas grave.
Mɔrwena ka bolo.,le bras de Morwena.
A b'a kɛ ɲanama.,Et vous faites bien !
Luane.,Monsieur Louarn.
Nne ma kuma fɔlɔ ban.,Je n’ai pas encore décidé.
Plafɔn ni bi mɛnɛna,Le plafond s'illumina.
Bɔgɔ ti sigilan ni kɔnɔ a,Le siège est libre ?
Alain cee a y'a ka sɛbɛ di minisiri fɔlɔ ma,"Dieu merci, vous avez donné votre copie au Premier ministre."
Mun na aw bi janto?,Pourquoi êtes-vous préoccupé ?
Suad Amidu ye Amidu ka denmuso ye.,Souad Amidou est la fille de l'acteur Amidou.
Mobili wɛrɛ yi n ka mobili bugɔ.,Ma voiture a été frappée par une autre voiture.
O ka balimacɛ.,Leurs frères.
Marus y'a ka sira ta tuguni.,Marius continua son chemin.
ka n'a siran mɛtrɛs joe ka n'a siran,"Ne craignez rien, mistress Joliffe, ne craignez rien!"
dusu kasi banw kɔnɔna dondonni,L'angoisse le vieillissait progressivement.
Monsieur Gandema ka tour lo,"Monsieur et Madame Galimard Galimard , entre en appelant."
Hitler ka fanga tèmè na.Allemagne tina wari ni sara,"Après la prise de pouvoir de Hitler, l'Allemagne nazie ne remboursa pas ce montant."
a ye kɔnɔ ni kɛ ka mɛ,Vous avez attendu longtemps ?
ɲɛgɛn Sisi lo tasuma bé yi a,"La toilette, c’est la fumée ! y aurait-il du feu ?"
I ba lon ki la bara nɔgɔman yala,Tu sais que tu n’as pas choisi un métier facile.
loran ka sira min be mantɛs,Route de l'Oron à Manthes
a tɛmɛna a ma siran,Elle ne fut toutefois pas inquiétée après-guerre.
o bi yan jama wele monstan,Ses habitants sont appelés les Mossetans.
Mr Guy ka kouma lo,La parole est à Monsieur Guy Geoffroy.
A toun bi nana a fè,Cela venait vers lui.
A ka jan kojugu.,il est trop grand.
sini sɔgɔma an yɔrɔ bɛna jan ɲa Ferrare la.,Demain matin vous serez loin de Ferrare.
A ne ta kini bolo fè,Il se dirige vers la droite.
O ma seko yé,Ils ne le purent apercevoir.
Bi yé tènè yé,aujourd'hui c'est lundi.
Ayi cravati gêman don,Mettant sa cravate blanche.
Bara kè la wou yo yèrè fara yongon kan,Les ouvriers se rassemblèrent.
Iyèrè korossi boli fen na,Attention en conduisant.
Sebè binani ni kelé,quarante et une lettres.
Alou aba kalan,"Vous, vous lirez."
A toun be min?,Où avait-il été ?
An ko toun kadi yongon yé,"Nous, nous aimions."
A ti yèlè bila ne la,Je ne trouve pas ça drôle !
Ma ko djougou kè alou la,Je ne vous ai pas fait mal ?
Ayi numéro ni ta,Notez l'adresse.
A bi se ga yongon yé,Vous pouvez te trouver.
Bon wèrè teyi,Il n'y a pas d'uatre maison.
Miniti kelen le n ba di ma,Tu as une minute.
Mark b'a miri k'a ka cogi,Marthe à part. — Comme il est malin !
Fɔlɔla filanbura tun ye sɛnɛkɛlaw ka vilagi ye,"Autrefois, Frambouhans était un village habité principalement par des laboureurs."
a tun bi fɛ n ka dongili la,il voulait que je chantasse.
Ele lo kaɲi ka zuwe.,C’est à toi de jouer.
A be kɔm Avɛrnie.,C'est comme Lavernié.
Ye fɛn lo,Cette visible-là.
Nin ko ni ye kabako ko le ye dɛ i be jon le kɔ,Ah ça ! à qui en as-tu ?
I kisira ka bɔ tɔrɔ ma,Et te voilà sauvé des maux!
rɔmu ka jigi bina mugumugu,Le rêve de Rome s'écroulait.
n ka ala cɛ /,Monseigneur l’évêque.
melie ka sira tan nan lo,dix rue Meillier
loransi ye artikli parkuri,Laurence parcourut l'article.
muso mɔgɔ lo,C’était une mouette.
alugu yɛrɛ y'a ɲagami,"Vous, vous l’avez même doublé."
an bi n'a kalen bɛri kɔgɔman n'a,On jurerait du beurre salé …
nul kulon kɛlaw,Des joueurs de boules.
A a ta miya cɛɲumanu lo dɛ,Ah ! les beaux camélias !…
Mɔgɔ min ti taga ɲɛ bi sɔkɔ kɔ,"Or, qui n'avance pas recule."
Aya fô a da djoukorô,Ivre mort ! murmura-t-il.
Malo foro,Production de riz.
Kelen ani dɔwɛrɛ.,L’une et l’autre.
Kunfɛ ko tɛ.,Il ne s'agit pas d'un hasard.
Bolow tɛmɛ na n'a ye.,Des bras l'accaparèrent.
Farijagabɔlaw tun bi bolila jona jona.,Les sportifs couraient vite.
Nunuw ye papiye ye.,Ceux-là sont des livres.
A kɛr'a fɛ.,"Elle, elle a été aimée."
A tunu na dimansi lon.,Perdu dimanche p.
A filɛ i cɛ ka ɲi.,Comme tu es belle !…
Walissa sini beyi,Néanmoins un futur existe.
Aw toun wili la ka bô table kan,Vous vous étiez levé de table.
Kènèya bara,du travail soigné.
Aya ka cravati gê man don,Mettant sa cravate blanche.
An mara bâ ga ou ko di,Que propose le Gouvernement?
A toum na ka fè,Ils eurent aimé.
Guichy ka sira Vielmanay kɔnɔn .,"Je te crois, parbleu !"
ni juru ba ni.,Cette grosse corde.
A bi kɔlɔn ka sanfɛ yɔrɔ la,Il est situé au nord du puits.
o ti n'a magankan kɛ foo,Ils ne se plaidront pas ? Si.
pak ka dimasi,Le dimanche de Pâques.
a bi n'a kɛ i baleman muso fɛ,Vous aimerez ta sœur.
Sirakanacɛ.,“l’homme de la rue”.
N bi ta sisan.,J’y vais maintenant.
A ti kalanfa ye.,Il n'est pas le maître.
Prefe tun b'a majigi ra.,Le préfet lui obéissait.
Faventin valans ka cin,"Rue Faventines, Valence"
A yi karmasinan ye wa?,Avez-vous vu le prétendu ?
A nɔgɔya ni bɛ,Le plus simplement possible.
O bi jɛnkulu ni na,Elles sont au régime.
O bi na kɛ n baleman muso fɛ,Ils aimeront ta sœur.
A kɛra san wolofila,Cela vous a sept ans.
Yɛlɛni mangankan,L'escalade est interdite.
Hakilina jagabɔna ɲanaman lo,C’est un vrai sujet de fond.
O lɔnni lo,Ils sont connus.
Anw bi kumana abi tɛmɛna,"En parlant, elle passe n o un."
"Joona joona ten wa, wilibali le",", Déjà ? Certainement."
Kunu glasi bonna wa ?,Il a neigé hier ?
I balimamuso bi na k'a fɛ.,ta sœur aimerait.
Tiɲɛ tun b'a fɛ.,Il avait raison.
An be fɛn wɛrɛ le yala,La réalité est tout autre.
I bi siran o ɲɛ wa,Tu as peur d'eux ?
a y'a kunsigi nugu,Il lisse ses cheveux.
a ɲaw tun bi blemisɛn n'a,Ses yeux mêmes blêmissaient.
an ka mara duguba ye sanare ye,Son chef-lieu est Sanare.
k'a ti n'a lakunu fiyo,Qui la ressuscitera jamais?
n ga a ba kɔnɔ,Mais il y a le contexte.
siam ka sama,L’éléphant de Siam !
sɛbɛti kɛnan wuleman,J'ai un crayon rouge.
egɛn kabakoyara,Eugène était stupéfait.
A bi Ala dɔ kɛlɛ la.,Tu t'attaques à un dieu.
Kɔrɔnifɛn marayɔrɔ boɲɛn na.,La taille du musée a doublé.
Minɛn ni binani si seegi.,Quarante-huit tasses.
A y'a dusu tiɲɛn ni kasi ye,Elle fondit en pleurs.
Tumajan kalo saba.,Longtemps ? Trois mois.
I lara la wa ?,Tu es sûr de ça?
Danbɛrt Bristat ka sira.,"Rue du Damberg, Brunstatt"
N bi disi gosi ko tulonkɛnan ɲanaman b'a fɛ.,Je parie qu’elle a beau jeu.
I prese nin bɛ ka se wa?,Tu es pressé d'être arrivé ?
N nin n ka kruwa kɛ.,J'fais ma croix.
Toni Renɔlt kabakoya ra.,Oh! s’écria Tony Renault...
Pak ka tɛnɛ lon.,Lundi de Pâques.
Aw ba lɔn cogoɲumɛ?,Comment le savez-vous ?
Sarawak ka kongo.,Forêts primaires du Sarawak.
N bi fɛ ka jati daminɛ.,"J'attends, reprit le comte."
An! Mun kama a ti kɛ?,"Eh bien, pourquoi donc pas ?"
Gaftɔn le yi a ka bon ye.,Son siège est Grafton.
I tulow jɔsi.,Nettoie tes oreilles.
Pinar ka sisɛsi ta.,Que Pinard prenne la plume.
Dumuni ta bina sɔrɔ.,Il y aura un souper…
Sanu banden bi n fɛ.,J'ai suffisamment d'or.
Dɔnkilila nunu yi mɔgɔkuraw lo ye.,Les chanteuses sont nouvelles.
An ka subaga ye sisan..,Voilà enfin notre sorcier…
Fɔɲɔn nani.,Les quatres vents.
olugu ba fɛ,"Eux, ils aimaient."
Nunsɔndiya kojugu.,Trésaillir de joie.
n filila,J'ai commis une erreur.
Hakili jagabɔ ni to yɔrɔla,Mais là n’est pas le sujet.
Bɛ. I se ka famu,Qui était votre professeur ?
Bon da tan ni seegi na,la dix-huitième porte.
Yɔrɔ yan tun ka ɲi.,Le temps était beau.
Gilasi kuru bi na ben bi,"Maintenant, fit-il, je sors."
Ika akili na ta mara,Garde tes conseils!
Ni djourou bâ ni,Il légiférera par ordonnance.
Min bi sèbè li kè ka gnè,"Vraiment, il y a des moments…"
a y'a mabɔ an n'a,il s'est retiré.
n ta mɛna,"Je ne l’entends pas, moi."
A toun bi bolo sissan sissan,Je le tenais tout à l’heure.
a tun bi n bolo sisan sisan,Vous refusez l’expérimentation
nevilɛt ka sira dɔ,un route de la Neuvillette
ale le y'a ɲanaman ye,Monte avec nous.
a ma ko ko ka min kɛ,Que faire ? demanda le patron.
Tchè lo yi kodjougou kè baga yé,L'homme est auteur du mal.
suguru an kilara,"Mademoiselle, nous avons fini…"
I ka non le bugɔ,Vous avez tapé la lettre ?
N tu ya miri i ye fama ye,Je te croyais officier.
A dan ye a ka nana,Pourvu qu’il ne vienne pas !
Nin juruba ni,Cette grosse corde.
A ma sɔrɔ,les grands garçons.
Nin ti livru ye,Ceci n’est pas un livre.
O ka nana na yan,Qu'il ne vienne pas
An tun ka fɔ ko deenmisɛ,On aurait dit un gamin.
A yi n wele wa,Vous m'avez téléphoné ?
"A ɲɛna dɔɔni, a kaɲ","Elle a assez de nous, parbleu!"
Wari bon gɛrɛfɛ,Vingt et une lettres.
Futɛni be yi,Rue du Croizic à Pluméliau
N ye a kunbɛ ka sɔrɔ n ma sigi ni o ye,Belle solidarité!
A ye mun lo fɔ?,Qu’est-ce qu’il a dit ?
Min tora kacɛ ka ca.,celui-là là-bas.
N bi fɛn bɛ kɛ ka to denmisɛn ye.,J'enrage d'être trop jeune.
A bi n dimina yan.,"Rue DES SPORTS, La Rochelle"
A bina mɛ wagati juman ?,Combien de temps ça va durer ?
A bi gwɛlɛya kuma fɔ ra.,Vous parlez de complexité.
Nin bɛ yi ko tɛmɛni ye.,"Ah ! comme ça, on peut lire !"
Nne kɔni fɛ nin kanɲ,Cela me semble essentiel.
Yafa n ma a sigɛna,"Je suis désolé, il est epuisé."
Kamele misɛniw,"Mais oui, le pauvre Cavrois!"
A ya mabɔ,"Assez, assez, je la connais…"
A bi yɛlɛko kow kɛ,Combat de Hundelmarck.
N ga bara ka ca,La liste des décisions.
K'a kana,"Eh ! bien, qu’elle vienne !…"
Nin kɔni ti na soɲɛn.,tes chaises sont grandes.
Sunkuruw an kilara,Garde la maison.
Ka na to n bi na ko nunu fɔ,Je ne fais que dire les choses
Jɔn ba lɔn,Qu’est-ce qu’il fait chaud !
Sokɔnɔɲa fila a ni verɛnda kelen,"Que manges-tu donc, Père Ubu ?"
Wulu musoman naani,Des gens mauvais.
N ti se ka kɔnɔni kɛ tuguni,Je n'ai plus de patience.
Soo deen binaani,quarante chevaux.
Nne ye Nin digi,"J’ai appuyé ça, moi…"
